x [mm],u(x) [mm],nr [#/s],u(nr) [#/s]
0.0,0.0,6.565071252341004,0.42248363648898957
3.2,0.028,6.248172882384872,0.3878764386247241
6.4,0.056,6.355564424904395,0.39992050440134413
9.600000000000001,0.084,6.494913361797014,0.39548758920586463
9.600000000000001,0.084,7.195241950481049,0.4462541706524062
6.4,0.056,6.355270903761381,0.4016657135880337
12.8,0.112,7.389041828883541,0.47409153493460093
16.0,0.14,6.492100969730549,0.39601061119346964
19.200000000000003,0.168,5.668568254204289,0.35201152015758996
0.0,0.0,7.7071360609155235,0.48472162475838537
0.0,0.0,7.7384627794285725,0.41066275551737075
3.2,0.028,7.929486711787478,0.47388563491437374
3.2,0.028,6.939591912411562,0.3930202552231539
6.4,0.056,7.081742592705388,0.4356440790266064
6.4,0.056,7.496970337460887,0.3948283302945639
9.600000000000001,0.084,7.768966717116795,0.47736597419488835
9.600000000000001,0.084,7.457275162043253,0.39618894156953843
12.8,0.112,6.75088174421898,0.3719728011851916
16.0,0.14,7.0277391537408205,0.3782446331268807
19.200000000000003,0.168,7.606074675446484,0.4000402080161616
19.200000000000003,0.168,6.606333203361859,0.3665617726916409
22.400000000000002,0.196,7.143639425235513,0.3828330434345584
22.400000000000002,0.196,6.251613180041458,0.35001444924540215
25.6,0.224,6.474366640032591,0.35355174473975903
28.8,0.252,6.986246564189681,0.37947260403075367
28.8,0.252,5.984279739380934,0.3324710753187202
32.0,0.28,6.343380640594664,0.3469280454260209
