Bins,Cuentas,Cuentas,Cuentas
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,1,1,1
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,3,3,3
24,2,2,2
25,7,7,7
26,7,7,7
27,12,12,12
28,13,13,13
29,17,17,17
30,28,28,28
31,44,44,44
32,42,42,42
33,44,44,44
34,59,59,59
35,57,57,57
36,57,57,57
37,69,69,69
38,77,77,77
39,57,57,57
40,52,52,52
41,66,66,66
42,52,52,52
43,48,48,48
44,28,28,28
45,30,30,30
46,24,24,24
47,34,34,34
48,17,17,17
49,11,11,11
50,16,16,16
51,7,7,7
52,4,4,4
53,0,0,0
54,5,5,5
55,1,1,1
56,1,1,1
57,4,4,4
58,2,2,2
59,1,1,1
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,1,1,1
