U [kV],u(U) [kV],n12 [#/s],u(n12) [#/s]
-0.111,1.0,7.291110650324271,0.42214309024348673
-0.111,1.0,8.526305842873779,0.48433701518249056
-0.111,1.0,8.771345007542857,0.40999354334851495
-0.111,1.0,6.894391826707094,0.3875856015541791
-0.111,1.0,8.703577712871093,0.47353571841990616
-0.111,1.0,7.873369843836982,0.3924454477935043
-0.111,1.0,6.974093523528833,0.39965855762921215
-0.111,1.0,7.814032364123385,0.4353070031614191
-0.111,1.0,8.428487021954345,0.3942612514737259
-0.111,1.0,6.992947175666923,0.40138898987318905
-0.111,1.0,7.076441372846223,0.3952530430436355
-0.111,1.0,7.866781076285952,0.4459731504853367
-0.111,1.0,5.964764240426943,0.3349095571328193
-0.111,1.0,11.815605546438839,0.5638870881232796
-0.111,1.0,8.35419607987221,0.4735526559585831
-0.111,1.0,7.6224184539165165,0.37885852536574266
-0.111,1.0,7.19247561818189,0.39567722176371267
-0.111,1.0,7.724381198802197,0.37790660154125466
-0.111,1.0,6.260546665567979,0.3517453608470879
-0.111,1.0,8.313090397279778,0.39970829146389714
-0.111,1.0,7.428739480464019,0.36608487239983056
-0.111,1.0,7.863291109109906,0.3824770773279278
-0.111,1.0,7.059303822705176,0.3495357419882019
-0.111,1.0,7.185347940726685,0.3531803323138282
-0.111,1.0,7.711135191428244,0.37910879130281866
-0.111,1.0,6.724088978528921,0.33204900895981415
-0.111,1.0,7.03472056767341,0.3465704125321344
-0.111,1.0,7.03472056767341,0.3465704125321344
