,$E_c^*$,$E_p^*$,$E_t^*$,$T^*$,$P^*$,$C_V^*$,$\alpha_E^*$,$\gamma^*$,$1/k_s^*$
0,1093.772906351,-1668.775684553,-575.0027782024,1.461286448031,0.3584083321188,942.8208756165,-0.5885245403199,1.422930571684,4.582248104135
1,1092.578772262,-1667.586346085,-575.0075738231,1.459691078506,0.3611407851758,966.8121830409,-0.5862872369738,1.424401579003,3.509138871131
2,1093.403640216,-1668.403824271,-575.0001840557,1.460793106501,0.3554429376785,937.9284954816,-0.5685294216518,1.463513097756,3.09594972545
3,1094.072362087,-1669.078032023,-575.0056699358,1.461686522494,0.3549740758958,938.1866569499,-0.5919616834389,1.414571718724,3.716423305159
4,1091.335292297,-1666.34263704,-575.0073447439,1.458029782627,0.3715850454324,929.6180937233,-0.6373927658847,1.350184567886,3.800632876861
5,1097.139609793,-1672.155149475,-575.0155396816,1.465784381821,0.3620139406411,932.5185754975,-0.6126148226401,1.378482433956,4.220408940795
6,1093.880069209,-1668.891358617,-575.0112894078,1.461429618182,0.3698273272659,949.7268912441,-0.6261074299559,1.359335981318,3.82185528211
7,1093.275527129,-1668.285280358,-575.0097532292,1.460621946732,0.3659262164296,949.2594045395,-0.5584199069838,1.489949617295,3.168486871501
8,1093.522673263,-1668.527244117,-575.0045708539,1.460952135288,0.3543946968071,924.3506755828,-0.5961070598666,1.410689301012,3.534553933821
9,1094.539510581,-1669.55275448,-575.013243899,1.462310635379,0.3659741838561,975.9648421943,-0.5890199384622,1.417429652349,3.404410013425
